_id,active,name,description,type,volume,volume._id,volume.volume,volume.unit,amount,dimensions,weight_in_kg,is_sample_data
63c639ad1d4adb82cdeb16e4,TRUE,Absetzer/Transportmulde,,,,63c639ad1d4adb6117eb16e5,,cbm,0,,,FALSE
63c641302da501a1f7c07416,TRUE,Absetzcontainer 10er mit Deckel ,,,,63c641302da501410cc07417,,cbm,0,,,FALSE
63c668e74d0eedcf253af802,TRUE,Absetzcontainer 15 cbm offen,,,,63c668e74d0eede59f3af803,,cbm,0,,,FALSE
63c6eee9a455f5423a51d2e7,TRUE,Container unbekannt ,(unbekannt/Größe?),,,63c700ff48b0e8388a9250b7,1,cbm,1,,,
63c700b748b0e828a9925010,TRUE,Silo (Unbekannt) 13 cbm,(Nr. unbekannt),,,63c700b748b0e84315925011,13,cbm,20,,,
63c799fca455f58f0d53ac56,TRUE,3-Achs-Absetzer,,,,63c8e9eafde5156140fd0f3b,,cbm,0,,,FALSE
63c7a42518543a524c7a81ae,FALSE,15 to,,,,63c8e8abfde515ce14fcf93f,,cbm,0,,,FALSE
63c7a5ca48b0e82bf49466d3,FALSE,2 Abroller,,,,63f23e8c20bcdd20dcc1862e,,cbm,0,,,FALSE
63c7a62ba455f54e9954a190,FALSE,10 to,,,,63c8e8a018543ab2e3831a43,,cbm,0,,,FALSE
63c7a6ef92507886e717d92b,TRUE,4 cbm,,,,63c7a6ef925078e2b017d92c,,cbm,0,,,FALSE
63c7a816a455f59af454d155,FALSE,14 to,,,,63c8e89ffde5159833fcf7b3,,cbm,0,,,FALSE
63c7a91548b0e83d9794907f,FALSE,20 cbm ,,,,63f23e9120bcdd457dc18638,,cbm,0,,,FALSE
63c7b7d6a455f5f14155e8c9,TRUE,Absetzer 7er offen mit Klappe ,,,,63c7b7d6a455f5cd1b55e8ca,,cbm,0,,,FALSE
63c7c9a948b0e854459711cd,TRUE,Absetzcontainer 3 cbm³ mit Klappe,,,,63c7c9a948b0e8f8f89711ce,,cbm,0,,,FALSE
63c7cc14a455f5527f572c09,TRUE,Eigener Container Sägewerk,,,,63c7cc14a455f545c6572c0a,,cbm,0,,,FALSE
63c7cf82a455f5d86a576274,TRUE,kein Container,,,,63ca9e64fde5159eea0a177c,1,cbm,1,,0,FALSE
63c7eb30fde515f478f7beb4,TRUE,Silo,,,,63c7eb30fde515e469f7beb5,13,cbm,50,,,
63c7f17318543ad8c47f3498,FALSE,21 to,,,,63c8e8a5fde515df7dfcf811,,cbm,0,,,FALSE
63c8257b18543a226381615e,FALSE,Abfallcontainer 36,,,,63ca9e24a455f524f66c84b9,,cbm,0,,,FALSE
63c8e98ffde515a12bfd08af,TRUE,2-Achser,,,,63c8e98ffde515566efd08b0,,cbm,0,,,
63c8e9a748b0e860599e7040,TRUE,3-Achser Zug,,,,63c8e9a748b0e839869e7041,,cbm,0,,,
63c8e9b5fde5154882fd0c1d,TRUE,Kippsattel,,,,63c8e9b5fde5156c13fd0c1e,,cbm,0,,,
63c901d4fde515099dfe182f,TRUE,Gabelstapler,,,,63c901d4fde515fdb5fe1830,,cbm,0,,,FALSE
63c927e748b0e840eca23e7a,TRUE,Hopser,,,,63c927e748b0e87889a23e7b,,cbm,0,,,FALSE
63ca3f0d18543af5e88b037d,TRUE,7,,,,63ca3f0d18543a6daa8b037e,,cbm,0,,,FALSE
63ca6b8f18543ae2f08de1b7,TRUE,15m³-Absetzcontainer offen mit Türen,,,,63ca6b8f18543a47158de1b8,15,,1,,,
